joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-1.85829,-1.86163,0.00463491,0.00398731,-29,0,1.076
-1.85828,-1.86162,0.00466765,0.00363587,-33,0,1.08
-1.85826,-1.86161,0.00470049,0.00347883,-34,0,1.084
-1.85824,-1.86159,0.00473344,0.00350656,-35,0,1.088
-1.85822,-1.86158,0.00476648,0.00356033,-34,0,1.092
-1.8582,-1.86156,0.00479963,0.00370527,-33,0,1.096
-1.85818,-1.86155,0.00483288,0.00393926,-31,0,1.1
-1.85816,-1.86153,0.00486623,0.0041844,-29,0,1.104
-1.85814,-1.86151,0.00489968,0.00435905,-28,0,1.108
-1.85812,-1.86149,0.00493323,0.00453286,-27,0,1.112
-1.8581,-1.86147,0.00496688,0.00470619,-25,0,1.116
-1.85808,-1.86145,0.00500063,0.00476421,-25,0,1.12
-1.85806,-1.86143,0.00503448,0.00468143,-26,0,1.124
-1.85804,-1.86142,0.00506844,0.00452035,-28,0,1.128
-1.85802,-1.8614,0.00510249,0.00439244,-30,0,1.132
-1.858,-1.86138,0.00513664,0.00432132,-31,0,1.136
-1.85798,-1.86137,0.0051709,0.00432013,-31,0,1.14
-1.85796,-1.86135,0.00520525,0.00443452,-30,0,1.144
-1.85794,-1.86133,0.00523971,0.00445977,-30,0,1.148
-1.85792,-1.86131,0.00527426,0.00466555,-29,0,1.152
-1.8579,-1.86129,0.00530891,0.00489502,-27,0,1.156
-1.85788,-1.86127,0.00534366,0.0048692,-28,0,1.16
-1.85785,-1.86125,0.00537852,0.0048165,-28,0,1.164
-1.85783,-1.86123,0.00541347,0.0047105,-30,0,1.168
-1.85781,-1.86121,0.00544851,0.00465156,-31,0,1.172
-1.85779,-1.8612,0.00548366,0.00458044,-32,0,1.176
-1.85777,-1.86118,0.00551891,0.00450255,-33,0,1.18
-1.85774,-1.86116,0.00555425,0.00442089,-34,0,1.184
-1.85772,-1.86114,0.0055897,0.00441384,-35,0,1.188
-1.8577,-1.86113,0.00562524,0.00452497,-34,0,1.192
-1.85768,-1.86111,0.00566088,0.00470181,-32,0,1.196
-1.85765,-1.86108,0.00569662,0.00491517,-31,0,1.2
-1.85763,-1.86107,0.00573245,0.00480371,-32,0,1.204
-1.85761,-1.86105,0.00576838,0.00458834,-35,0,1.208
-1.85759,-1.86103,0.00580441,0.0041618,-39,0,1.212
-1.85756,-1.86102,0.00584054,0.00361784,-45,0,1.216
-1.85754,-1.86101,0.00587677,0.00316201,-50,0,1.22
-1.85752,-1.861,0.00591309,0.00279351,-54,0,1.224
-1.85749,-1.86099,0.00594951,0.00258863,-56,0,1.228
-1.85747,-1.86098,0.00598602,0.00243637,-58,0,1.232
-1.85744,-1.86098,0.00602264,0.00235171,-59,0,1.236
-1.85742,-1.86097,0.00605935,0.00226629,-61,0,1.24
-1.8574,-1.86096,0.00609615,0.00221879,-62,0,1.244
-1.85737,-1.86095,0.00613305,0.00200064,-64,0,1.248
-1.85735,-1.86094,0.00617005,0.001841,-66,0,1.252
-1.85732,-1.86094,0.00620715,0.00175223,-68,0,1.256
-1.8573,-1.86093,0.00624434,0.00162618,-69,0,1.26
-1.85727,-1.86093,0.00628162,0.0015561,-70,0,1.264
-1.85725,-1.86092,0.006319,0.00144043,-72,0,1.268
-1.85722,-1.86092,0.00635648,0.00133777,-74,0,1.272
-1.8572,-1.86091,0.00639405,0.00135739,-74,0,1.276
-1.85717,-1.86091,0.00643172,0.0013683,-74,0,1.28
-1.85714,-1.8609,0.00646948,0.00125932,-76,0,1.284
-1.85712,-1.8609,0.00650734,0.00119873,-77,0,1.288
-1.85709,-1.86089,0.00654529,0.00112669,-78,0,1.292
-1.85707,-1.86089,0.00658334,0.000971583,-80,0,1.296
-1.85704,-1.86089,0.00662148,0.000808647,-82,0,1.3
-1.85701,-1.86088,0.00665972,0.000679705,-84,0,1.304
-1.85699,-1.86088,0.00669805,0.000608013,-85,0,1.308
-1.85696,-1.86088,0.00673647,0.000453104,-87,0,1.312
-1.85693,-1.86088,0.00677499,0.000366974,-89,0,1.316
-1.85691,-1.86088,0.0068136,0.000319086,-90,0,1.32
-1.85688,-1.86088,0.00685231,0.00033081,-90,0,1.324
-1.85685,-1.86088,0.00689111,0.000375678,-90,0,1.328
-1.85682,-1.86087,0.00693,0.000400624,-91,0,1.332
-1.85679,-1.86087,0.00696898,0.000414495,-91,0,1.336
-1.85677,-1.86087,0.00700806,0.000460556,-91,0,1.34
-1.85674,-1.86087,0.00704723,0.000409467,-92,0,1.344
-1.85671,-1.86087,0.0070865,0.000342712,-93,0,1.348
-1.85668,-1.86087,0.00712586,0.000305597,-94,0,1.352
-1.85665,-1.86087,0.00716531,0.000246611,-96,0,1.356
-1.85662,-1.86087,0.00720485,0.000213815,-96,0,1.36
-1.8566,-1.86086,0.00724448,0.000272279,-96,0,1.364
-1.85657,-1.86086,0.00728421,0.000189737,-98,0,1.368
-1.85654,-1.86086,0.00732403,0.000220542,-98,0,1.372
-1.85651,-1.86086,0.00736394,0.000122621,-100,0,1.376
-1.85648,-1.86086,0.00740395,0.000221576,-99,0,1.38
-1.85645,-1.86086,0.00744404,0.000314944,-99,0,1.384
-1.85642,-1.86086,0.00748423,0.000443555,-98,0,1.388
-1.85639,-1.86086,0.0075245,0.000361665,-100,0,1.392
-1.85636,-1.86086,0.00756487,0.000354484,-100,0,1.396
-1.85633,-1.86085,0.00760533,0.000273792,-102,0,1.4
-1.8563,-1.86085,0.00764588,0.000228927,-103,0,1.404
-1.85627,-1.86085,0.00768653,0.000165633,-104,0,1.408
-1.85624,-1.86085,0.00772726,0.00024549,-104,0,1.412
-1.85621,-1.86085,0.00776808,0.000213192,-105,0,1.416
-1.85617,-1.86085,0.007809,0.000118534,-106,0,1.42
-1.85614,-1.86085,0.00785,0.000219303,-106,0,1.424
-1.85611,-1.86085,0.00789109,0.000198632,-107,0,1.428
-1.85608,-1.86085,0.00793228,0.000225488,-107,0,1.432
-1.85605,-1.86085,0.00797355,0.000278769,-107,0,1.436
-1.85602,-1.86085,0.00801492,0.000270044,-108,0,1.44
-1.85598,-1.86084,0.00805637,0.000303543,-108,0,1.444
-1.85595,-1.86084,0.00809791,0.000283818,-109,0,1.448
-1.85592,-1.86084,0.00813954,0.000272851,-110,0,1.452
-1.85589,-1.86084,0.00818127,0.000266754,-110,0,1.456
-1.85585,-1.86084,0.00822308,0.000263364,-111,0,1.46
-1.85582,-1.86084,0.00826498,0.000261479,-112,0,1.464
-1.85579,-1.86084,0.00830696,0.000375479,-111,0,1.468
-1.85575,-1.86084,0.00834904,0.000362165,-112,0,1.472
