joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term1[Nm], DOB Torque Term2[Nm], current_time
-0.26834,-0.267779,0.00135503,1.99301e-07,2.16683,-5.05348e-07,-2.05094,0.568
-0.268335,-0.267779,0.00137367,1.10723e-07,2.21814,-3.16167e-07,-2.10245,0.572
-0.268329,-0.267779,0.00139243,6.15126e-08,2.26976,-1.95325e-07,-2.15387,0.576
-0.268323,-0.267779,0.00141131,3.41736e-08,2.32173,-1.19446e-07,-2.20538,0.58
-0.268318,-0.267779,0.00143031,1.89854e-08,2.37406,-7.24318e-08,-2.25709,0.584
-0.268312,-0.267779,0.00144943,3.83984e-05,2.33918,1.5306e-05,-2.30908,0.588
-0.268306,-0.267779,0.00146867,2.13325e-05,2.43096,1.6794e-06,-2.32246,0.592
-0.2683,-0.267779,0.00148802,1.18514e-05,2.50594,-2.85806e-06,-2.37068,0.596
-0.268294,-0.267779,0.0015075,6.5841e-06,2.57176,-3.69395e-06,-2.43079,0.6
-0.268288,-0.267779,0.0015271,3.65783e-06,2.63267,-3.22228e-06,-2.49344,0.604
-0.268282,-0.267779,0.00154681,2.03213e-06,2.69102,-2.4402e-06,-2.55532,0.608
-0.268276,-0.267779,0.00156665,1.12896e-06,2.74814,-1.7168e-06,-2.61563,0.612
-0.268269,-0.267779,0.0015866,6.272e-07,2.80475,-1.15441e-06,-2.67453,0.616
-0.268263,-0.267779,0.00160667,3.48445e-07,2.86124,-7.528e-07,-2.7324,0.62
-0.268257,-0.267779,0.00162686,1.9358e-07,2.91786,-4.80145e-07,-2.78966,0.624
-0.26825,-0.267779,0.00164717,1.07545e-07,2.97472,-3.01149e-07,-2.84664,0.628
-0.268243,-0.267779,0.00166759,5.9747e-08,3.03189,-1.86417e-07,-2.90356,0.632
-0.268237,-0.267779,0.00168813,3.84211e-05,3.00182,1.52354e-05,-2.9606,0.636
-0.26823,-0.267779,0.0017088,2.13451e-05,3.0984,1.63617e-06,-2.97892,0.64
-0.268223,-0.267779,0.00172957,1.18584e-05,3.17817,-2.88431e-06,-3.03202,0.644
-0.268216,-0.267779,0.00175047,6.58798e-06,3.24879,-3.70978e-06,-3.09698,0.648
-0.268209,-0.267779,0.00177148,3.65999e-06,3.31449,-3.23176e-06,-3.16445,0.652
-0.268202,-0.267779,0.00179262,2.03333e-06,3.37765,-2.44585e-06,-3.23113,0.656
-0.268195,-0.267779,0.00181386,1.12963e-06,3.43957,-1.72015e-06,-3.29625,0.66
-0.268187,-0.267779,0.00183523,6.2757e-07,3.50098,-1.15639e-06,-3.35995,0.664
-0.26818,-0.267779,0.00185671,3.4865e-07,3.56229,-7.53966e-07,-3.42263,0.668
-0.268173,-0.267779,0.00187831,1.93694e-07,3.62373,-4.8083e-07,-3.4847,0.672
-0.268165,-0.267778,0.00190002,3.84955e-05,3.59782,1.5048e-05,-3.54649,0.676
-0.268157,-0.267778,0.00192185,2.13864e-05,3.6985,1.51886e-06,-3.5693,0.68
-0.26815,-0.267778,0.0019438,5.02692e-05,3.69475,1.23927e-05,-3.62672,0.684
-0.268142,-0.267778,0.00196586,2.79273e-05,3.80811,-2.04864e-06,-3.65696,0.688
-0.268134,-0.267778,0.00198804,1.55152e-05,3.89936,-6.10119e-06,-3.72414,0.692
-0.268126,-0.267778,0.00201034,8.61955e-06,3.9785,-6.1468e-06,-3.80201,0.696
-0.268118,-0.267778,0.00203275,4.31765e-05,3.96352,1.04029e-05,-3.88045,0.7
-0.26811,-0.267778,0.00205527,2.3987e-05,4.07135,-1.89366e-06,-3.91737,0.704
-0.268101,-0.267778,0.00207791,1.33261e-05,4.16026,-5.31483e-06,-3.98581,0.708
-0.268093,-0.267777,0.00210067,4.57913e-05,4.15124,1.00287e-05,-4.06334,0.712
-0.268085,-0.267777,0.00212354,2.54396e-05,4.26293,-2.56623e-06,-4.10241,0.716
-0.268076,-0.267777,0.00214653,5.2521e-05,4.26694,9.40294e-06,-4.17375,0.72
-0.268067,-0.267777,0.00216963,2.91783e-05,4.38623,-4.10982e-06,-4.21517,0.724
-0.268059,-0.267777,0.00219284,1.62102e-05,4.48241,-7.4686e-06,-4.2912,0.728
-0.26805,-0.267777,0.00221617,4.73936e-05,4.47834,8.31958e-06,-4.37618,0.732
-0.268041,-0.267777,0.00223961,2.63298e-05,4.5937,-3.80046e-06,-4.42159,0.736
-0.268032,-0.267776,0.00226317,5.30155e-05,4.60065,8.55906e-06,-4.49808,0.74
-0.268023,-0.267776,0.00228684,2.94531e-05,4.7225,-4.66652e-06,-4.54367,0.744
-0.268014,-0.267776,0.00231063,5.47507e-05,4.73342,7.52286e-06,-4.62315,0.748
-0.268004,-0.267776,0.00233453,3.04171e-05,4.85784,-5.55055e-06,-4.67216,0.752
-0.267995,-0.267776,0.00235854,5.52863e-05,4.87055,6.86042e-06,-4.75468,0.756
